Sigla da UF**;Conceito Enade (Contínuo);Região
ES;3,118919902;Sudeste
RS;2,6587255295;Sul
CE;2,560092999;Nordeste
PR;2,488396794;Sul
DF;2,460662519;Centro-Oeste
SC;2,451484578;Sul
MG;2,39078511;Sudeste
RN;2,382178413;Nordeste
SE;2,3366694795000003;Nordeste
PB;2,285783447;Nordeste
MS;2,198860091;Centro-Oeste
PI;2,190646607;Nordeste
RJ;2,1675664395;Sudeste
SP;2,1497425655;Sudeste
BA;2,142263792;Nordeste
AL;2,058800083;Nordeste
RO;2,008900455;Norte
GO;1,986089605;Centro-Oeste
PA;1,982918715;Norte
PE;1,9765257695;Nordeste
TO;1,933182342;Norte
MA;1,904694875;Nordeste
AP;1,899800982;Norte
AC;1,8127761709999999;Norte
RR;1,771796181;Norte
MT;1,735746729;Centro-Oeste
AM;1,68930316;Norte
